ID_Venda;Data_Venda;Loja;Produto;Categoria;Quantidade;Preco_Unitario;Vendedor;Forma_Pagamento;Custo_Unitario
1000;01/07/2025;Loja São Paulo;Notebook Intel i7;Eletrônicos;2;269847;Dra. Isadora das Neves;PIX;144728
1001;01/07/2025;Loja Porto Alegre;Notebook Intel i7;Eletrônicos;1;323865;André Costela;Cartão de Crédito;239859
1002;01/07/2025;Loja Recife;Notebook Intel i7;Eletrônicos;3;382789;Anthony Nogueira;Cartão de Débito;291198
1003;01/07/2025;Loja São Paulo;Calça Jeans;Vestuário Masculino;3;43096;Anthony Nogueira;Boleto;349659
1004;01/07/2025;Loja Recife;Camiseta Polo;Vestuário Masculino;1;164833;Dra. Isadora das Neves;Cartão de Crédito;122606
1005;01/07/2025;Loja Salvador;Liquidificador;Casa e Eletro;4;21621;Luiz Gustavo Cardoso;Cartão de Crédito;17455
1006;01/07/2025;Loja São Paulo;Ar Condicionado;Casa e Eletro;5;13745;Dra. Fernanda Pereira;Cartão de Débito;9288
1007;01/07/2025;Loja Fortaleza;Sapato Social;Vestuário Masculino;5;424515;Dra. Fernanda Pereira;PIX;315518
1008;01/07/2025;Loja Recife;Sapato Social;Vestuário Masculino;3;370157;Yago Cardoso;Cartão de Débito;329292
1009;01/07/2025;Loja Recife;Smartphone A22;Eletrônicos;1;379074;Dra. Fernanda Pereira;PIX;277514
1010;01/07/2025;Loja Porto Alegre;Ar Condicionado;Casa e Eletro;3;316574;Yago Cardoso;Cartão de Crédito;200952
1011;01/07/2025;Loja Porto Alegre;Ar Condicionado;Casa e Eletro;4;490414;Vitória Gonçalves;Cartão de Débito;436951
1012;01/07/2025;Loja Salvador;Tablet 10'';Eletrônicos;1;366608;Luiz Gustavo Cardoso;PIX;287673
1013;01/07/2025;Loja Porto Alegre;Cafeteira 15x;Casa e Eletro;2;232717;Yago Cardoso;Cartão de Crédito;178673
1014;01/07/2025;Loja Recife;Camiseta Polo;Vestuário Masculino;4;152518;Dra. Isadora das Neves;Dinheiro;8327
1015;01/07/2025;Loja Salvador;Camisa Social;Vestuário Masculino;2;72671;Mirella Pires;Boleto;63404
1016;01/07/2025;Loja Porto Alegre;Shorts Jeans;Vestuário Feminino;3;314577;Yago Cardoso;Dinheiro;162414
1017;01/07/2025;Loja São Paulo;Blusa Básica;Vestuário Feminino;4;242924;Dra. Fernanda Pereira;PIX;196323
1018;01/07/2025;Loja Salvador;Calça Jeans;Vestuário Masculino;3;416251;André Costela;Boleto;266734
1019;01/07/2025;Loja Salvador;Tablet 10'';Eletrônicos;3;28172;Vitória Gonçalves;Cartão de Débito;2006
1020;01/07/2025;Loja Porto Alegre;Liquidificador;Casa e Eletro;1;378282;Mirella Pires;PIX;209427
1021;01/07/2025;Loja Porto Alegre;Notebook Intel i5;Eletrônicos;2;385014;Bryan da Luz;Dinheiro;318036
1022;01/07/2025;Loja Porto Alegre;Notebook Intel i5;Eletrônicos;3;279807;André Costela;Cartão de Crédito;225468
1023;01/07/2025;Loja Salvador;Camiseta Polo;Vestuário Masculino;1;158123;Yago Cardoso;Cartão de Débito;138222
1024;01/07/2025;Loja São Paulo;Vestido Floral;Vestuário Feminino;5;463488;Anthony Nogueira;Cartão de Débito;41669
1025;01/07/2025;Loja Fortaleza;Tablet 10'';Eletrônicos;2;14955;Bryan da Luz;Cartão de Débito;126931
1026;01/07/2025;Loja Recife;Ar Condicionado;Casa e Eletro;4;32633;Sra. Ana Carolina Rodrigues;Dinheiro;173606
1027;01/07/2025;Loja Porto Alegre;Saia Midi;Vestuário Feminino;3;183352;Luiz Gustavo Cardoso;Boleto;12839
1028;01/07/2025;Loja Fortaleza;Calça Jeans;Vestuário Masculino;5;337346;Dra. Isadora das Neves;Boleto;170854
1029;01/07/2025;Loja Fortaleza;Blusa Básica;Vestuário Feminino;3;260956;Dra. Fernanda Pereira;Cartão de Débito;209665
1030;01/07/2025;Loja Recife;Vestido Floral;Vestuário Feminino;1;130427;Bryan da Luz;Dinheiro;116263
1031;01/07/2025;Loja São Paulo;Liquidificador;Casa e Eletro;3;73154;Dra. Isadora das Neves;Dinheiro;36635
1032;01/07/2025;Loja Porto Alegre;Vestido Floral;Vestuário Feminino;3;121316;Vitória Gonçalves;Cartão de Débito;62472
1033;01/07/2025;Loja Recife;Smartphone A22;Eletrônicos;5;492794;Bryan da Luz;Boleto;310519
1034;01/07/2025;Loja Porto Alegre;Vestido Floral;Vestuário Feminino;2;138182;Luiz Gustavo Cardoso;Cartão de Débito;9037
1035;01/07/2025;Loja São Paulo;Notebook Intel i7;Eletrônicos;4;183513;Anthony Nogueira;Dinheiro;135001
1036;01/07/2025;Loja Salvador;Liquidificador;Casa e Eletro;5;245609;Dra. Fernanda Pereira;Boleto;211712
1037;01/07/2025;Loja Fortaleza;Liquidificador;Casa e Eletro;4;48527;Dra. Isadora das Neves;Dinheiro;37586
1038;01/07/2025;Loja Porto Alegre;Calça Jeans;Vestuário Masculino;4;419288;Mirella Pires;Dinheiro;340789
1039;01/07/2025;Loja Fortaleza;Vestido Floral;Vestuário Feminino;3;115392;Mirella Pires;Boleto;65411
1040;01/07/2025;Loja São Paulo;Ar Condicionado;Casa e Eletro;1;9160;André Costela;Boleto;57684
1041;01/07/2025;Loja São Paulo;Notebook Intel i5;Eletrônicos;2;421864;Yago Cardoso;Cartão de Débito;217557
1042;01/07/2025;Loja São Paulo;Sapato Social;Vestuário Masculino;2;104646;Yago Cardoso;Dinheiro;54925
1043;01/07/2025;Loja Fortaleza;Notebook Intel i5;Eletrônicos;1;262733;André Costela;PIX;234445
1044;01/07/2025;Loja Salvador;Tablet 10'';Eletrônicos;3;13024;Yago Cardoso;Boleto;7649
1045;01/07/2025;Loja Recife;Sapato Social;Vestuário Masculino;5;373914;Dra. Isadora das Neves;PIX;264387
1046;01/07/2025;Loja São Paulo;Camiseta Polo;Vestuário Masculino;5;439348;Vitória Gonçalves;Cartão de Débito;29282
1047;01/07/2025;Loja Fortaleza;Blusa Básica;Vestuário Feminino;1;487039;Sra. Ana Carolina Rodrigues;Cartão de Débito;279376
1048;01/07/2025;Loja Salvador;Vestido Floral;Vestuário Feminino;4;374512;Luiz Gustavo Cardoso;PIX;297939
1049;01/07/2025;Loja Salvador;Ar Condicionado;Casa e Eletro;3;303304;Mirella Pires;Dinheiro;151747
1050;01/07/2025;Loja Recife;Geladeira Duplex;Casa e Eletro;2;482532;Yago Cardoso;PIX;360545
1051;01/07/2025;Loja Fortaleza;Camisa Social;Vestuário Masculino;5;383731;Luiz Gustavo Cardoso;Cartão de Crédito;341607
1052;01/07/2025;Loja Porto Alegre;Shorts Jeans;Vestuário Feminino;3;98464;Luiz Gustavo Cardoso;Cartão de Crédito;51144
1053;01/07/2025;Loja São Paulo;Notebook Intel i5;Eletrônicos;3;483009;Vitória Gonçalves;Cartão de Débito;264805
1054;01/07/2025;Loja Salvador;Ar Condicionado;Casa e Eletro;1;254882;Yago Cardoso;Dinheiro;180508
1055;01/07/2025;Loja São Paulo;Shorts Jeans;Vestuário Feminino;4;443178;Dra. Fernanda Pereira;Boleto;306342
1056;01/07/2025;Loja Recife;Cafeteira 15x;Casa e Eletro;3;277257;Mirella Pires;Cartão de Crédito;237705
